node_id,0,1,2,3,4,5,6,7,8,9
d306610,1,0.044176705,0.68422776,0,0,0,1,0,0,1
d390293,0,0.032128513,0.5094593,0,0,0,0,0,0,0
d568522,0,0.08835341,0.7005288,0,0,0,0,0,0,1
d298410,1,0.084337346,0.64073914,0,0,0,0,0,1,1
d585613,0,0.09638554,0.71312505,0,0,0,0,0,0,2
d130968,1,0.08835341,0.72237265,0,0,0,0,0,1,1
d370040,0,0.084337346,0.701308,0,0,0,0,0,0,0
d128018,0,0.08835341,0.63420534,0,0,0,0,0,0,2
d47216,1,0.044176705,0.5913898,0,0,0,0,0,0,0
d619644,0,0.08032128,0.694226,0,0,0,0,0,2,1
d8801,0,0.016064256,0.44916216,0,0,0,0,0,0,0
d37630,0,0.20883535,0.82268727,0,0,0,1,0,1,2
d140282,0,0.044176705,0.6188774,0,0,0,1,0,0,0
d127892,0,0.12851405,0.7684357,0,1,1,1,0,2,1
d508427,0,0.060240965,0.7661088,0,0,0,0,0,1,1
d400491,0,0.092369474,0.69244635,0,0,1,0,0,0,1
d214407,0,0.036144577,0.6649252,0,0,0,0,0,0,0
d409421,0,0.032128513,0.52242815,0,0,0,0,0,0,0
d489785,0,0.084337346,0.75296825,0,0,0,0,0,0,1
d67517,0,0.052208837,0.5489906,0,0,0,0,0,0,1
d279264,0,0.060240965,0.69281566,0,0,0,0,0,0,1
d245378,0,0.08032128,0.7178902,0,0,1,0,0,0,0
d280624,0,0.04819277,0.6295499,0,0,0,1,0,0,1
d288040,0,0.04016064,0.64866483,0,0,0,0,0,0,0
d414057,0,0.04819277,0.6553196,0,0,0,0,0,0,1
d167835,0,0.044176705,0.6463651,0,0,0,0,0,1,0
d356284,0,0.024096385,0.57737726,0,0,0,0,0,0,0
d315641,0,0.044176705,0.6567401,0,0,0,0,0,0,1
d305109,0,0.09638554,0.7664691,0,0,0,0,0,1,1
d639641,0,0.07630522,0.7161543,0,0,0,0,0,0,3
d69241,0,0.04016064,0.58976275,0,0,0,0,0,0,0
d284665,0,0.0562249,0.61579317,0,0,0,0,0,0,1
d648852,0,0.052208837,0.64600587,0,0,0,0,0,1,1
d46514,0,0.0562249,0.6473454,0,0,0,1,0,1,0
d356344,0,0.036144577,0.6332087,0,0,0,0,0,0,0
d707817,0,0.024096385,0.57737726,0,0,0,1,0,0,0
d474782,1,0.044176705,0.6188774,0,0,0,0,0,0,0
d628479,0,0.064257026,0.64427763,0,0,0,0,0,0,1
d230482,0,0.04016064,0.5603117,0,0,0,0,0,0,0
d364722,0,0.06827309,0.6860373,0,0,0,0,0,0,0
